// METGen - The Synthesized METAR Generator
// Copyright (C) 2025 FiendishDrWu
//
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU Affero General Public License as published
// by the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU Affero General Public License for more details.
//
// You should have received a copy of the GNU Affero General Public License
// along with this program.  If not, see <https://www.gnu.org/licenses/>.
//
ICAO,Latitude,Longitude
64FA,27.142828,-80.337828
64GE,33.726942,-85.311883
64KS,38.976558,-98.471133
64MS,33.419556,-90.799597
64OG,44.492883,-119.844128
65AK,61.560408,-149.367769
65AR,35.798656,-91.408094
65MD,38.170033,-76.520942
65MO,36.732825,-89.582128
65MS,34.564694,-89.884056
65NK,42.729519,-74.164017
65TS,29.712308,-100.584072
65WI,44.688725,-92.685689
65XA,30.903575,-94.695836
66AK,61.632464,-149.571489
66AR,36.036683,-94.388856
66CA,35.60770034790039,-121.11000061035156
66IL,42.268739,-88.571297
66MO,38.833456,-90.951425
66NE,40.929111,-101.604372
66OH,39.027506,-84.046833
66SC,35.034058,-82.298508
66TE,32.365522,-97.645011
66TN,35.523383,-85.846472
66XA,33.913092,-98.251672
67AR,36.097778,-94.307500
67KY,38.806700,-84.557536
67MD,39.554667,-77.230458
67MI,41.997875,-85.853483
67MO,37.810756,-93.369944
67MU,39.454169,-91.395919
67SC,32.948611,-80.767500
67TT,33.348894,-97.444608
67XA,33.518175,-98.144758
68AR,35.934094,-94.415925
68IS,42.148600,-88.561947
68KS,38.196850,-98.182575
68LS,31.815072,-91.370639
68MI,42.146389,-83.791944
68MN,45.048597,-94.836669
68PN,40.186042,-80.480644
69MU,39.764236,-94.627361
69ND,48.743358,-101.042011
69WT,47.392869,-122.460439
6AK2,61.251628,-149.966203
